County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Bristol ,23,23,"15,185","8,701",364
Kent ,96,96,"45,932","32,278","1,436"
Newport ,45,45,"23,550","14,538",612
Providence ,311,300,"154,526","72,890","3,727"
Washington ,66,65,"36,295","24,095","1,132"
