County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Belknap ,16,16,"16,796","16,402",267
Carroll ,18,18,"15,204","13,354",295
Cheshire ,27,27,"26,971","15,205",382
Coos ,27,27,"9,681","6,645",167
Grafton ,41,41,"31,446","17,687",475
Hillsborough ,49,49,"104,516","97,331","1,770"
Merrimack ,38,38,"45,039","34,006",610
Rockingham ,41,41,"83,673","82,102","1,435"
Strafford ,27,27,"37,977","25,008",548
Sullivan ,17,17,"13,288","9,197",171
