County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Fairfield ,176,174,"232,339","160,890","2,673"
Hartford ,191,191,"265,282","138,466","4,826"
Litchfield ,50,50,"44,731","40,336","1,443"
Middlesex ,34,34,"53,008","32,917","1,228"
New Haven ,191,191,"231,077","143,297","4,511"
New London ,59,59,"73,638","47,842","1,574"
Tolland ,25,25,"44,874","29,543","1,051"
Windham ,33,33,"28,353","21,293",915
