County ,Total Precincts ,Precincts Reporting ,Obama ,McCain ,Other
Hawaii ,67,67,"50,808","14,865","1,229"
Honolulu ,212,212,"213,977","88,049","4,405"
Kauai ,17,17,"20,408","6,243",563
Maui ,42,42,"39,725","11,152",908
