CID,STATE,COUNTY,PBUSH,PGORE,PNADER,POTHER,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE
1,Alabama,Autauga,0.6969,0.2872,0.0093,0.0066,11993,4942,160,43,51,9,5,5,0,0,0,0,0,0,0,0,0
2,Alabama,Baldwin,0.7237,0.2478,0.0183,0.0102,40872,13997,1033,287,226,23,28,14,0,0,0,0,0,0,0,0,0
3,Alabama,Barbour,0.4991,0.4902,0.0044,0.0063,5096,5188,46,27,27,6,3,2,0,0,0,0,0,0,0,0,0
4,Alabama,Bibb,0.6017,0.3816,0.0073,0.0093,4273,2710,52,36,20,9,0,1,0,0,0,0,0,0,0,0,0
5,Alabama,Blount,0.7048,0.2769,0.0086,0.0097,12667,4977,154,104,51,10,5,5,0,0,0,0,0,0,0,0,0
6,Alabama,Bullock,0.2922,0.6923,0.0049,0.0106,1433,3395,24,8,34,5,1,4,0,0,0,0,0,0,0,0,0
7,Alabama,Butler,0.5289,0.4621,0.0046,0.0044,4127,3606,36,9,19,3,3,0,0,0,0,0,0,0,0,0,0
8,Alabama,Calhoun,0.5733,0.4056,0.0124,0.0088,22306,15781,481,153,149,18,8,13,0,0,0,0,0,0,0,0,0
9,Alabama,Chambers,0.5101,0.4746,0.008,0.0073,6037,5616,95,35,38,5,3,5,0,0,0,0,0,0,0,0,0
10,Alabama,Cherokee,0.531,0.447,0.0098,0.0121,4154,3497,77,58,27,3,2,5,0,0,0,0,0,0,0,0,0
11,Alabama,Chilton,0.667,0.3184,0.0061,0.0085,10066,4806,92,70,53,1,3,1,0,0,0,0,0,0,0,0,0
12,Alabama,Choctaw,0.4882,0.5027,0.0045,0.0046,3600,3707,33,17,8,3,4,2,0,0,0,0,0,0,0,0,0
13,Alabama,Clarke,0.5569,0.4352,0.0031,0.0048,5988,4679,33,28,16,4,2,2,0,0,0,0,0,0,0,0,0
14,Alabama,Clay,0.6322,0.3476,0.0088,0.0114,3719,2045,52,30,32,4,0,1,0,0,0,0,0,0,0,0,0
15,Alabama,Cleburne,0.6546,0.3268,0.0077,0.011,3333,1664,39,32,21,0,3,0,0,0,0,0,0,0,0,0,0
16,Alabama,Coffee,0.6439,0.3382,0.01,0.0078,9938,5220,155,61,40,17,2,1,0,0,0,0,0,0,0,0,0
17,Alabama,Colbert,0.4885,0.4896,0.0097,0.0122,10518,10543,208,201,38,9,11,4,0,0,0,0,0,0,0,0,0
18,Alabama,Conecuh,0.4862,0.5014,0.0063,0.0061,2699,2783,35,21,6,2,2,3,0,0,0,0,0,0,0,0,0
19,Alabama,Coosa,0.5216,0.4607,0.0074,0.0103,2382,2104,34,13,23,6,1,4,0,0,0,0,0,0,0,0,0
20,Alabama,Covington,0.6583,0.3262,0.009,0.0065,8961,4440,123,42,32,9,3,3,0,0,0,0,0,0,0,0,0
21,Alabama,Crenshaw,0.5825,0.4033,0.0083,0.0058,2793,1934,40,16,9,2,1,0,0,0,0,0,0,0,0,0,0
22,Alabama,Cullman,0.6488,0.3305,0.0096,0.0111,19157,9758,282,216,59,31,17,5,0,0,0,0,0,0,0,0,0
23,Alabama,Dale,0.6702,0.3104,0.0119,0.0075,10593,4906,188,56,27,26,6,4,0,0,0,0,0,0,0,0,0
24,Alabama,Dallas,0.3986,0.594,0.0034,0.004,7360,10967,63,19,38,10,3,4,0,0,0,0,0,0,0,0,0
25,Alabama,DeKalb,0.6323,0.3478,0.0086,0.0112,12827,7056,175,88,124,9,4,2,0,0,0,0,0,0,0,0,0
26,Alabama,Elmore,0.7048,0.2794,0.0089,0.0068,16777,6652,212,53,87,4,11,8,0,0,0,0,0,0,0,0,0
27,Alabama,Escambia,0.5982,0.3879,0.0067,0.0072,6975,4523,78,57,13,7,4,3,0,0,0,0,0,0,0,0,0
28,Alabama,Etowah,0.5359,0.443,0.0111,0.01,21087,17433,435,239,117,17,14,6,0,0,0,0,0,0,0,0,0
29,Alabama,Fayette,0.5868,0.3924,0.0077,0.0131,4582,3064,60,68,21,8,5,0,0,0,0,0,0,0,0,0,0
30,Alabama,Franklin,0.5511,0.4317,0.0065,0.0107,6119,4793,72,85,17,5,7,5,0,0,0,0,0,0,0,0,0
31,Alabama,Geneva,0.6892,0.2897,0.0101,0.011,6588,2769,97,46,38,16,3,2,0,0,0,0,0,0,0,0,0
32,Alabama,Greene,0.1934,0.7971,0.0055,0.0041,850,3504,24,3,8,4,1,2,0,0,0,0,0,0,0,0,0
33,Alabama,Hale,0.386,0.6017,0.0056,0.0067,2984,4652,43,25,17,4,1,5,0,0,0,0,0,0,0,0,0
34,Alabama,Henry,0.5848,0.4013,0.0069,0.0069,4054,2782,48,18,18,4,4,4,0,0,0,0,0,0,0,0,0
35,Alabama,Houston,0.691,0.2936,0.008,0.0074,22150,9412,257,121,88,9,13,7,0,0,0,0,0,0,0,0,0
36,Alabama,Jackson,0.4733,0.5063,0.0103,0.0101,8475,9066,184,118,48,5,4,6,0,0,0,0,0,0,0,0,0
37,Alabama,Jefferson,0.5059,0.4745,0.0124,0.0073,138491,129889,3393,670,987,92,160,81,0,0,0,0,0,0,0,0,0
38,Alabama,Lamar,0.6166,0.366,0.0079,0.0095,4470,2653,57,50,6,6,6,1,0,0,0,0,0,0,0,0,0
39,Alabama,Lauderdale,0.5439,0.4317,0.011,0.0134,17478,13875,354,296,78,23,23,10,0,0,0,0,0,0,0,0,0
40,Alabama,Lawrence,0.4654,0.5167,0.0052,0.0127,5671,6296,63,111,22,11,7,4,0,0,0,0,0,0,0,0,0
41,Alabama,Lee,0.5863,0.3809,0.0234,0.0095,22433,14574,895,68,233,17,33,11,0,0,0,0,0,0,0,0,0
42,Alabama,Limestone,0.601,0.3805,0.0082,0.0104,14204,8992,193,137,78,13,11,6,0,0,0,0,0,0,0,0,0
43,Alabama,Lowndes,0.2624,0.7299,0.0029,0.0048,1638,4557,18,11,11,3,1,4,0,0,0,0,0,0,0,0,0
44,Alabama,Macon,0.1235,0.868,0.0035,0.005,1091,7665,31,10,20,6,2,6,0,0,0,0,0,0,0,0,0
45,Alabama,Madison,0.5485,0.4253,0.0166,0.0096,62151,48199,1885,322,567,65,82,47,0,0,0,0,0,0,0,0,0
46,Alabama,Marengo,0.4881,0.5039,0.0042,0.0039,4690,4841,40,19,12,4,0,2,0,0,0,0,0,0,0,0,0
47,Alabama,Marion,0.5878,0.3913,0.0106,0.0103,6910,4600,125,77,25,7,5,7,0,0,0,0,0,0,0,0,0
48,Alabama,Marshall,0.6104,0.3709,0.0091,0.0096,17084,10381,256,157,82,10,10,9,0,0,0,0,0,0,0,0,0
49,Alabama,Mobile,0.5593,0.4196,0.0113,0.0097,78162,58640,1585,532,727,30,43,26,0,0,0,0,0,0,0,0,0
50,Alabama,Monroe,0.5757,0.4179,0.0028,0.0036,5153,3741,25,19,11,0,2,0,0,0,0,0,0,0,0,0,0
51,Alabama,Montgomery,0.4834,0.5026,0.0084,0.0056,38827,40371,677,113,293,10,20,17,0,0,0,0,0,0,0,0,0
52,Alabama,Morgan,0.6039,0.3763,0.0105,0.0093,25774,16060,450,214,118,31,28,6,0,0,0,0,0,0,0,0,0
53,Alabama,Perry,0.2993,0.6947,0.0031,0.0029,1732,4020,18,7,7,1,0,2,0,0,0,0,0,0,0,0,0
54,Alabama,Pickens,0.5042,0.4851,0.0046,0.0061,4306,4143,39,23,20,4,4,1,0,0,0,0,0,0,0,0,0
55,Alabama,Pike,0.5745,0.4132,0.0071,0.0051,6058,4357,75,17,27,4,3,3,0,0,0,0,0,0,0,0,0
56,Alabama,Randolph,0.5892,0.3907,0.0076,0.0125,4666,3094,60,48,39,8,0,4,0,0,0,0,0,0,0,0,0
57,Alabama,Russell,0.4195,0.5683,0.0074,0.0049,6198,8396,109,31,30,3,4,4,0,0,0,0,0,0,0,0,0
58,Alabama,St. Clair,0.7105,0.2692,0.0092,0.0111,17117,6485,221,144,87,21,10,5,0,0,0,0,0,0,0,0,0
59,Alabama,Shelby,0.767,0.2122,0.0131,0.0078,47651,13183,812,123,281,39,26,13,0,0,0,0,0,0,0,0,0
60,Alabama,Sumter,0.2676,0.7252,0.0033,0.0039,1629,4415,20,7,10,5,2,0,0,0,0,0,0,0,0,0,0
61,Alabama,Talladega,0.5425,0.4426,0.0072,0.0077,13807,11264,184,107,75,7,5,2,0,0,0,0,0,0,0,0,0
62,Alabama,Tallapoosa,0.6033,0.3804,0.0094,0.0069,9805,6183,153,44,47,4,6,11,0,0,0,0,0,0,0,0,0
63,Alabama,Tuscaloosa,0.5656,0.4095,0.0168,0.0082,34003,24614,1007,193,251,28,0,18,0,0,0,0,0,0,0,0,0
64,Alabama,Walker,0.526,0.4532,0.0103,0.0105,13486,11621,264,177,70,8,10,5,0,0,0,0,0,0,0,0,0
65,Alabama,Washington,0.542,0.4458,0.0034,0.0088,4117,3386,26,39,22,3,1,2,0,0,0,0,0,0,0,0,0
66,Alabama,Wilcox,0.324,0.6719,0.0012,0.0029,1661,3444,6,4,4,2,5,0,0,0,0,0,0,0,0,0,0
67,Alabama,Winston,0.6882,0.2889,0.0094,0.0134,6413,2692,88,91,22,5,5,2,0,0,0,0,0,0,0,0,0
68,Alaska,District 1,0.7033,0.1929,0.0714,0.0325,4681,1284,475,81,70,28,28,9,0,0,0,0,0,0,0,0,0
69,Alaska,District 2,0.5732,0.2817,0.1145,0.0306,4235,2081,846,88,65,25,23,25,0,0,0,0,0,0,0,0,0
70,Alaska,District 3,0.3812,0.449,0.1412,0.0287,3135,3693,1161,89,73,26,42,6,0,0,0,0,0,0,0,0,0
71,Alaska,District 4,0.5275,0.3471,0.0982,0.0272,4127,2715,768,69,57,36,35,16,0,0,0,0,0,0,0,0,0
72,Alaska,District 5,0.5507,0.3,0.1167,0.0326,3545,1931,751,67,62,30,32,19,0,0,0,0,0,0,0,0,0
73,Alaska,District 6,0.6331,0.2528,0.081,0.0331,3862,1542,494,77,62,24,22,17,0,0,0,0,0,0,0,0,0
74,Alaska,District 7,0.561,0.2182,0.1801,0.0407,4868,1893,1563,147,116,27,40,23,0,0,0,0,0,0,0,0,0
75,Alaska,District 8,0.6732,0.1878,0.1014,0.0376,5371,1498,809,165,72,28,19,16,0,0,0,0,0,0,0,0,0
76,Alaska,District 9,0.7043,0.1769,0.0703,0.0485,4789,1203,478,187,90,19,19,15,0,0,0,0,0,0,0,0,0
77,Alaska,District 10,0.6386,0.247,0.0904,0.0241,5673,2194,803,123,39,22,14,16,0,0,0,0,0,0,0,0,0
78,Alaska,District 11,0.5673,0.2927,0.1064,0.0335,3960,2043,743,128,61,26,11,8,0,0,0,0,0,0,0,0,0
79,Alaska,District 12,0.6086,0.2698,0.0909,0.0307,4626,2051,691,125,58,25,20,5,0,0,0,0,0,0,0,0,0
80,Alaska,District 13,0.4833,0.3338,0.1543,0.0287,3853,2661,1230,93,64,33,22,17,0,0,0,0,0,0,0,0,0
81,Alaska,District 14,0.6391,0.2771,0.0583,0.0256,3750,1626,342,73,33,19,13,12,0,0,0,0,0,0,0,0,0
82,Alaska,District 15,0.4179,0.3588,0.1819,0.0414,2453,2106,1068,100,81,30,23,9,0,0,0,0,0,0,0,0,0
83,Alaska,District 16,0.4226,0.4203,0.1131,0.044,1980,1969,530,113,43,31,10,9,0,0,0,0,0,0,0,0,0
84,Alaska,District 17,0.5924,0.2895,0.0832,0.0349,4564,2230,641,138,67,25,28,11,0,0,0,0,0,0,0,0,0
85,Alaska,District 18,0.5486,0.2772,0.1502,0.0241,5421,2739,1484,113,58,31,29,7,0,0,0,0,0,0,0,0,0
86,Alaska,District 19,0.5809,0.2956,0.0916,0.0319,4619,2350,728,136,61,25,15,17,0,0,0,0,0,0,0,0,0
87,Alaska,District 20,0.5239,0.3244,0.1205,0.0312,3648,2259,839,113,52,24,18,10,0,0,0,0,0,0,0,0,0
88,Alaska,District 21,0.4922,0.3483,0.1222,0.0373,3263,2309,810,140,54,22,18,13,0,0,0,0,0,0,0,0,0
89,Alaska,District 22,0.576,0.3116,0.0818,0.0307,4910,2656,697,145,59,33,16,9,0,0,0,0,0,0,0,0,0
90,Alaska,District 23,0.6395,0.2769,0.0611,0.0225,2961,1282,283,53,25,12,10,4,0,0,0,0,0,0,0,0,0
91,Alaska,District 24,0.6397,0.2508,0.0797,0.0298,5063,1985,631,139,41,34,12,10,0,0,0,0,0,0,0,0,0
92,Alaska,District 25,0.6693,0.2069,0.0906,0.0332,5489,1697,743,174,42,22,22,12,0,0,0,0,0,0,0,0,0
93,Alaska,District 26,0.6832,0.1872,0.0832,0.0463,5869,1608,715,231,88,35,22,22,0,0,0,0,0,0,0,0,0
94,Alaska,District 27,0.6432,0.2107,0.0971,0.049,6714,2199,1014,284,132,38,28,29,0,0,0,0,0,0,0,0,0
95,Alaska,District 28,0.6443,0.1917,0.0996,0.0644,7113,2116,1100,403,174,50,40,44,0,0,0,0,0,0,0,0,0
96,Alaska,District 29,0.4595,0.318,0.1845,0.038,4054,2806,1628,125,128,35,33,14,0,0,0,0,0,0,0,0,0
97,Alaska,District 30,0.5954,0.2791,0.0884,0.037,3622,1698,538,108,64,25,18,10,0,0,0,0,0,0,0,0,0
98,Alaska,District 31,0.5576,0.307,0.0897,0.0458,3326,1831,535,137,71,34,22,9,0,0,0,0,0,0,0,0,0
99,Alaska,District 32,0.6925,0.2302,0.0472,0.03,4178,1389,285,105,35,21,9,11,0,0,0,0,0,0,0,0,0
100,Alaska,District 33,0.6662,0.2026,0.0906,0.0406,5804,1765,789,164,101,29,31,29,0,0,0,0,0,0,0,0,0
101,Alaska,District 34,0.7329,0.1817,0.0569,0.0285,5243,1300,407,110,43,29,16,6,0,0,0,0,0,0,0,0,0
102,Alaska,District 35,0.6703,0.1893,0.0921,0.0483,4278,1208,588,139,87,36,25,21,0,0,0,0,0,0,0,0,0
103,Alaska,District 36,0.5392,0.3488,0.0687,0.0434,3007,1945,383,120,59,12,24,27,0,0,0,0,0,0,0,0,0
104,Alaska,District 37,0.542,0.3622,0.0507,0.0451,2725,1821,255,124,41,28,26,8,0,0,0,0,0,0,0,0,0
105,Alaska,District 38,0.4958,0.4049,0.0537,0.0456,2467,2015,267,108,34,16,48,21,0,0,0,0,0,0,0,0,0
106,Alaska,District 39,0.4474,0.4399,0.0738,0.0389,2321,2282,383,100,42,13,23,24,0,0,0,0,0,0,0,0,0
107,Alaska,District 40,0.5676,0.3174,0.0781,0.0369,1831,1024,252,58,32,10,13,6,0,0,0,0,0,0,0,0,0
108,Arizona,Apache,0.306,0.6703,0.0126,0.0111,5947,13025,245,135,66,0,0,15,0,0,0,0,0,0,0,0,0
109,Arizona,Cochise,0.5475,0.4024,0.0335,0.0166,18180,13360,1113,315,199,3,0,34,0,0,0,0,0,0,0,0,0
110,Arizona,Coconino,0.4296,0.496,0.0606,0.0138,17562,20280,2478,244,252,1,0,66,0,0,0,0,0,0,0,0,0
111,Arizona,Gila,0.5164,0.4341,0.028,0.0215,9158,7700,497,227,129,0,0,25,0,0,0,0,0,0,0,0,0
112,Arizona,Graham,0.6216,0.3472,0.0149,0.0163,6007,3355,144,131,20,0,0,7,0,0,0,0,0,0,0,0,0
113,Arizona,Greenlee,0.547,0.4108,0.023,0.0193,1619,1216,68,42,12,0,0,3,0,0,0,0,0,0,0,0,0
114,Arizona,La Paz,0.5673,0.3946,0.0203,0.0178,2543,1769,91,53,24,0,0,3,0,0,0,0,0,0,0,0,0
115,Arizona,Maricopa,0.5334,0.4297,0.025,0.0119,479967,386683,22465,7156,2985,58,0,494,0,0,0,0,0,0,0,0,0
116,Arizona,Mohave,0.5525,0.3958,0.03,0.0218,24386,17470,1323,622,291,5,0,44,0,0,0,0,0,0,0,0,0
117,Arizona,Navajo,0.4925,0.469,0.0206,0.0179,12386,11794,517,266,156,0,0,28,0,0,0,0,0,0,0,0,0
118,Arizona,Pima,0.4331,0.5134,0.043,0.0105,124579,147688,12355,1731,1046,36,0,205,0,0,0,0,0,0,0,0,0
119,Arizona,Pinal,0.4873,0.4759,0.0219,0.0149,20122,19650,904,442,136,0,0,36,0,0,0,0,0,0,0,0,0
120,Arizona,Santa Cruz,0.376,0.5884,0.0244,0.0111,3344,5233,217,44,41,0,0,14,0,0,0,0,0,0,0,0,0
121,Arizona,Yavapai,0.5896,0.3534,0.0401,0.0168,40144,24063,2733,749,261,7,0,125,0,0,0,0,0,0,0,0,0
122,Arizona,Yuma,0.5482,0.4207,0.0173,0.0138,15708,12055,495,216,157,0,0,21,0,0,0,0,0,0,0,0,0
123,Arkansas,Arkansas,0.5262,0.4515,0.0102,0.0121,3353,2877,65,41,19,8,0,9,0,0,0,0,0,0,0,0,0
124,Arkansas,Ashley,0.4686,0.5142,0.0074,0.0098,3876,4253,61,51,10,15,0,5,0,0,0,0,0,0,0,0,0
125,Arkansas,Baxter,0.5709,0.39,0.0257,0.0135,9538,6516,429,132,42,41,0,10,0,0,0,0,0,0,0,0,0
126,Arkansas,Benton,0.6494,0.3221,0.0161,0.0125,34838,17277,862,368,175,54,0,72,0,0,0,0,0,0,0,0,0
127,Arkansas,Boone,0.6285,0.3295,0.0212,0.0208,8569,4493,289,187,37,31,0,29,0,0,0,0,0,0,0,0,0
128,Arkansas,Bradley,0.4506,0.5333,0.0085,0.0075,1793,2122,34,19,6,3,0,2,0,0,0,0,0,0,0,0,0
129,Arkansas,Calhoun,0.5162,0.4654,0.0087,0.0096,1128,1017,19,12,3,5,0,1,0,0,0,0,0,0,0,0,0
130,Arkansas,Carroll,0.5794,0.3749,0.0314,0.0144,5556,3595,301,91,29,14,0,4,0,0,0,0,0,0,0,0,0
131,Arkansas,Chicot,0.3513,0.6334,0.0058,0.0094,1564,2820,26,22,7,5,0,8,0,0,0,0,0,0,0,0,0
132,Arkansas,Clark,0.4377,0.5403,0.0119,0.01,3776,4661,103,64,8,8,0,6,0,0,0,0,0,0,0,0,0
133,Arkansas,Clay,0.382,0.5978,0.0124,0.0078,2254,3527,73,25,12,7,0,2,0,0,0,0,0,0,0,0,0
134,Arkansas,Cleburne,0.5614,0.4036,0.0179,0.017,5730,4120,183,116,18,25,0,15,0,0,0,0,0,0,0,0,0
135,Arkansas,Cleveland,0.5275,0.4445,0.0094,0.0185,1678,1414,30,44,7,4,0,4,0,0,0,0,0,0,0,0,0
136,Arkansas,Columbia,0.5392,0.4301,0.0075,0.0232,5018,4003,70,28,19,164,0,5,0,0,0,0,0,0,0,0,0
137,Arkansas,Conway,0.49,0.4833,0.0116,0.0151,3545,3496,84,78,23,3,0,5,0,0,0,0,0,0,0,0,0
138,Arkansas,Craighead,0.4833,0.492,0.0163,0.0085,12158,12376,409,122,52,31,0,9,0,0,0,0,0,0,0,0,0
139,Arkansas,Crawford,0.613,0.3568,0.0127,0.0176,10804,6288,223,191,86,24,0,9,0,0,0,0,0,0,0,0,0
140,Arkansas,Crittenden,0.4426,0.5459,0.0073,0.0042,5857,7224,97,27,24,3,0,2,0,0,0,0,0,0,0,0,0
141,Arkansas,Cross,0.488,0.4981,0.0061,0.0077,3033,3096,38,30,10,4,0,4,0,0,0,0,0,0,0,0,0
142,Arkansas,Dallas,0.4725,0.5143,0.0063,0.0069,1571,1710,21,16,4,0,0,3,0,0,0,0,0,0,0,0,0
143,Arkansas,Desha,0.3566,0.6176,0.0085,0.0174,1603,2776,38,21,6,18,0,33,0,0,0,0,0,0,0,0,0
144,Arkansas,Drew,0.4654,0.5167,0.0079,0.01,2756,3060,47,41,11,2,0,5,0,0,0,0,0,0,0,0,0
145,Arkansas,Faulkner,0.5495,0.409,0.0176,0.0239,16055,11950,513,432,112,39,0,115,0,0,0,0,0,0,0,0,0
146,Arkansas,Franklin,0.5337,0.4355,0.0163,0.0145,3277,2674,100,69,8,8,0,4,0,0,0,0,0,0,0,0,0
147,Arkansas,Fulton,0.4956,0.481,0.0124,0.011,2036,1976,51,27,7,9,0,2,0,0,0,0,0,0,0,0,0
148,Arkansas,Garland,0.5315,0.4408,0.0158,0.012,19098,15840,566,268,103,28,0,32,0,0,0,0,0,0,0,0,0
149,Arkansas,Grant,0.5463,0.4216,0.0146,0.0175,3285,2535,88,74,21,8,0,2,0,0,0,0,0,0,0,0,0
150,Arkansas,Greene,0.4671,0.5062,0.0164,0.0103,5831,6319,205,79,26,14,0,10,0,0,0,0,0,0,0,0,0
151,Arkansas,Hempstead,0.4468,0.5401,0.0069,0.0062,3257,3937,50,23,9,7,0,6,0,0,0,0,0,0,0,0,0
152,Arkansas,Hot Spring,0.4592,0.5033,0.0184,0.0191,5042,5527,202,147,25,22,0,16,0,0,0,0,0,0,0,0,0
153,Arkansas,Howard,0.5216,0.4627,0.0112,0.0045,2326,2063,50,7,3,5,0,5,0,0,0,0,0,0,0,0,0
154,Arkansas,Independence,0.53,0.4439,0.0147,0.0114,6145,5146,171,78,32,8,0,14,0,0,0,0,0,0,0,0,0
155,Arkansas,Izard,0.4573,0.5141,0.0151,0.0135,2301,2587,76,50,10,6,0,2,0,0,0,0,0,0,0,0,0
156,Arkansas,Jackson,0.3755,0.6013,0.0127,0.0105,2280,3651,77,46,11,3,0,4,0,0,0,0,0,0,0,0,0
157,Arkansas,Jefferson,0.3222,0.6513,0.0133,0.0132,8765,17716,361,137,148,28,0,46,0,0,0,0,0,0,0,0,0
158,Arkansas,Johnson,0.5107,0.4566,0.0152,0.0175,3657,3270,109,86,19,16,0,4,0,0,0,0,0,0,0,0,0
159,Arkansas,Lafayette,0.4546,0.5338,0.008,0.0035,1538,1806,27,5,4,3,0,0,0,0,0,0,0,0,0,0,0
160,Arkansas,Lawrence,0.4348,0.5389,0.0144,0.0119,2626,3255,87,47,14,7,0,4,0,0,0,0,0,0,0,0,0
161,Arkansas,Lee,0.3278,0.6617,0.0044,0.0061,1351,2727,18,14,4,1,0,6,0,0,0,0,0,0,0,0,0
162,Arkansas,Lincoln,0.4303,0.5519,0.0059,0.0118,1526,1957,21,34,2,4,0,2,0,0,0,0,0,0,0,0,0
163,Arkansas,Little River,0.4338,0.5478,0.0095,0.0089,2283,2883,50,28,7,9,0,3,0,0,0,0,0,0,0,0,0
164,Arkansas,Logan,0.5542,0.4055,0.0153,0.025,4487,3283,124,153,21,16,0,12,0,0,0,0,0,0,0,0,0
165,Arkansas,Lonoke,0.5911,0.3818,0.0132,0.0139,10606,6851,237,170,58,14,0,7,0,0,0,0,0,0,0,0,0
166,Arkansas,Madison,0.6018,0.3651,0.0156,0.0174,3387,2055,88,66,19,10,0,3,0,0,0,0,0,0,0,0,0
167,Arkansas,Marion,0.5656,0.3712,0.0366,0.0266,3402,2233,220,74,30,47,0,9,0,0,0,0,0,0,0,0,0
168,Arkansas,Miller,0.5294,0.4567,0.0073,0.0066,7276,6278,100,50,12,13,0,16,0,0,0,0,0,0,0,0,0
169,Arkansas,Mississippi,0.4131,0.5647,0.0087,0.0135,5199,7107,110,54,83,8,0,25,0,0,0,0,0,0,0,0,0
170,Arkansas,Monroe,0.4036,0.58,0.0088,0.0076,1329,1910,29,19,4,0,0,2,0,0,0,0,0,0,0,0,0
171,Arkansas,Montgomery,0.5691,0.3846,0.027,0.0193,2128,1438,101,46,12,11,0,3,0,0,0,0,0,0,0,0,0
172,Arkansas,Nevada,0.4805,0.4995,0.0112,0.0088,1796,1867,42,19,8,3,0,3,0,0,0,0,0,0,0,0,0
173,Arkansas,Newton,0.644,0.3069,0.0285,0.0206,2529,1205,112,52,13,11,0,5,0,0,0,0,0,0,0,0,0
174,Arkansas,Ouachita,0.4559,0.5256,0.0096,0.0089,4739,5464,100,55,30,5,0,2,0,0,0,0,0,0,0,0,0
175,Arkansas,Perry,0.5276,0.4113,0.0152,0.0459,2114,1648,61,71,21,17,0,75,0,0,0,0,0,0,0,0,0
176,Arkansas,Phillips,0.3387,0.6462,0.0081,0.0071,3154,6018,75,28,6,26,0,6,0,0,0,0,0,0,0,0,0
177,Arkansas,Pike,0.5729,0.4039,0.0113,0.0118,2275,1604,45,34,4,6,0,3,0,0,0,0,0,0,0,0,0
178,Arkansas,Poinsett,0.413,0.567,0.012,0.008,2988,4102,87,44,5,6,0,3,0,0,0,0,0,0,0,0,0
179,Arkansas,Polk,0.6395,0.3218,0.0181,0.0206,4600,2315,130,95,26,19,0,8,0,0,0,0,0,0,0,0,0
180,Arkansas,Pope,0.6104,0.362,0.0141,0.0136,11244,6669,259,153,62,29,0,6,0,0,0,0,0,0,0,0,0
181,Arkansas,Prairie,0.5309,0.4457,0.0083,0.0151,1862,1563,29,45,6,1,0,1,0,0,0,0,0,0,0,0,0
182,Arkansas,Pulaski,0.4394,0.5373,0.0138,0.0095,55866,68320,1756,595,416,77,0,121,0,0,0,0,0,0,0,0,0
183,Arkansas,Randolph,0.4548,0.5137,0.0143,0.0172,2673,3019,84,61,18,16,0,6,0,0,0,0,0,0,0,0,0
184,Arkansas,St. Francis,0.4018,0.5869,0.0049,0.0064,3414,4986,42,32,18,2,0,2,0,0,0,0,0,0,0,0,0
185,Arkansas,Saline,0.5748,0.3921,0.0165,0.0167,18617,12700,533,336,114,45,0,46,0,0,0,0,0,0,0,0,0
186,Arkansas,Scott,0.6026,0.3627,0.0121,0.0226,2399,1444,48,69,9,9,0,3,0,0,0,0,0,0,0,0,0
187,Arkansas,Searcy,0.6432,0.3029,0.0205,0.0335,2610,1229,83,72,27,25,0,12,0,0,0,0,0,0,0,0,0
188,Arkansas,Sebastian,0.5848,0.3873,0.0125,0.0154,23483,15555,503,398,162,37,0,21,0,0,0,0,0,0,0,0,0
189,Arkansas,Sevier,0.4917,0.488,0.0128,0.0075,2111,2095,55,23,7,1,0,1,0,0,0,0,0,0,0,0,0
190,Arkansas,Sharp,0.5189,0.4541,0.0161,0.0108,3698,3236,115,46,11,14,0,6,0,0,0,0,0,0,0,0,0
191,Arkansas,Stone,0.5397,0.4204,0.0202,0.0198,2623,2043,98,56,15,6,0,19,0,0,0,0,0,0,0,0,0
192,Arkansas,Union,0.554,0.4011,0.0083,0.0366,8647,6261,130,291,58,152,0,70,0,0,0,0,0,0,0,0,0
193,Arkansas,Van Buren,0.499,0.4585,0.0219,0.0206,3485,3202,153,89,32,13,0,10,0,0,0,0,0,0,0,0,0
194,Arkansas,Washington,0.5486,0.4164,0.0235,0.0116,28231,21425,1208,325,187,51,0,32,0,0,0,0,0,0,0,0,0
195,Arkansas,White,0.5946,0.3766,0.011,0.0178,13170,8342,243,260,88,20,0,27,0,0,0,0,0,0,0,0,0
196,Arkansas,Woodruff,0.3387,0.6409,0.0072,0.0132,898,1699,19,21,9,2,0,3,0,0,0,0,0,0,0,0,0
197,Arkansas,Yell,0.4975,0.4726,0.012,0.0179,3223,3062,78,79,17,9,0,11,0,0,0,0,0,0,0,0,0
198,California,Alameda,0.2413,0.6936,0.0556,0.0094,119279,342889,27499,1026,1910,1237,0,492,4,0,0,0,0,0,0,0,0
199,California,Alpine,0.4795,0.4522,0.0427,0.0256,281,265,25,8,6,1,0,0,0,0,0,0,0,0,0,0,0
200,California,Amador,0.5669,0.3819,0.0378,0.0135,8766,5906,584,94,81,24,0,9,0,0,0,0,0,0,0,0,0
201,California,Butte,0.5445,0.3743,0.0684,0.0128,45584,31338,5727,486,381,125,0,80,0,0,0,0,0,0,0,0,0
202,California,Calaveras,0.5615,0.3758,0.0457,0.017,10599,7093,863,108,140,57,0,16,0,0,0,0,0,0,0,0,0
203,California,Colusa,0.6492,0.3122,0.027,0.0116,3629,1745,151,38,12,12,0,3,0,0,0,0,0,0,0,0,0
204,California,Contra Costa,0.3706,0.5881,0.0343,0.0071,141373,224338,13067,778,1290,346,0,286,0,0,0,0,0,0,0,0,0
